"rt","responses","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","mouse_click","stim_duration","block_duration","timing_post_trial","exp_stage","which_round","num_click_in_round","num_loss_cards","gain_amount","loss_amount","round_points","clicked_on_loss_card","round_type","credit_var","performance_var","text","key_press"
"12882","{""Q0"":""4R8LN""}","pre task questions","survey-text","0","12884","0.0-0.0","columbia-card-task-hot","false","0","","","","","","","","","","","","","","","","",""
"13716","","pre_stim","single-stim-button","1","27604","0.0-1.0-0.0","columbia-card-task-hot","false","0","6","13716","13716","0","test","1","1","3","30","750","30","false","rigged_loss","","","",""
"1982","","pre_stim","single-stim-button","2","29587","0.0-1.1-0.1","columbia-card-task-hot","false","0","7","1982","1982","0","test","1","2","3","30","750","60","false","rigged_loss","","","",""
"2095","","pre_stim","single-stim-button","3","31683","0.0-1.2-0.2","columbia-card-task-hot","false","0","8","2095","2095","0","test","1","3","3","30","750","90","false","rigged_loss","","","",""
"3991","","pre_stim","single-stim-button","4","35675","0.0-1.3-0.3","columbia-card-task-hot","false","0","16","3991","3991","0","test","1","4","3","30","750","120","false","rigged_loss","","","",""
"407","","pre_stim","single-stim-button","5","36083","0.0-1.4-0.4","columbia-card-task-hot","false","0","15","407","407","0","test","1","5","3","30","750","150","false","rigged_loss","","","",""
"6895","","pre_stim","single-stim-button","6","42979","0.0-1.5-0.5","columbia-card-task-hot","false","0","24","6895","6895","0","test","1","6","3","30","750","180","false","rigged_loss","","","",""
"2759","","pre_stim","single-stim-button","7","45739","0.0-1.6-0.6","columbia-card-task-hot","false","0","32","2759","2759","0","test","1","7","3","30","750","210","false","rigged_loss","","","",""
"5711","","pre_stim","single-stim-button","8","51451","0.0-1.7-0.7","columbia-card-task-hot","false","0","10","5711","5711","0","test","1","8","3","30","750","240","false","rigged_loss","","","",""
"5775","","pre_stim","single-stim-button","9","57227","0.0-1.8-0.8","columbia-card-task-hot","false","0","1","5775","5775","0","test","1","9","3","30","750","270","false","rigged_loss","","","",""
"10895","","pre_stim","single-stim-button","10","68123","0.0-1.9-0.9","columbia-card-task-hot","false","0","29","10895","10895","0","test","1","10","3","30","750","300","false","rigged_loss","","","",""
"8271","","pre_stim","single-stim-button","11","76395","0.0-1.10-0.10","columbia-card-task-hot","false","0","turnButton","8271","8271","0","test","1","10","3","30","750","300","false","rigged_loss","","","",""
"10078","","pre_stim","single-stim-button","12","86475","0.0-1.11-0.11","columbia-card-task-hot","false","0","collectButton","10078","10078","0","test","1","11","3","30","750","300","false","rigged_loss","","","",""
"7639","","pre_stim","single-stim-button","13","94115","0.0-2.0-0.0","columbia-card-task-hot","false","0","3","7639","7639","0","test","2","1","1","30","750","30","false","rigged_loss","","","",""
"407","","pre_stim","single-stim-button","14","94523","0.0-2.1-0.1","columbia-card-task-hot","false","0","2","407","407","0","test","2","2","1","30","750","60","false","rigged_loss","","","",""
"591","","pre_stim","single-stim-button","15","95115","0.0-2.2-0.2","columbia-card-task-hot","false","0","1","591","591","0","test","2","3","1","30","750","90","false","rigged_loss","","","",""
"735","","pre_stim","single-stim-button","16","95851","0.0-2.3-0.3","columbia-card-task-hot","false","0","9","735","735","0","test","2","4","1","30","750","120","false","rigged_loss","","","",""
"463","","pre_stim","single-stim-button","17","96315","0.0-2.4-0.4","columbia-card-task-hot","false","0","10","463","463","0","test","2","5","1","30","750","150","false","rigged_loss","","","",""
"415","","pre_stim","single-stim-button","18","96731","0.0-2.5-0.5","columbia-card-task-hot","false","0","11","415","415","0","test","2","6","1","30","750","180","false","rigged_loss","","","",""
"423","","pre_stim","single-stim-button","19","97155","0.0-2.6-0.6","columbia-card-task-hot","false","0","19","423","423","0","test","2","7","1","30","750","210","false","rigged_loss","","","",""
"487","","pre_stim","single-stim-button","20","97643","0.0-2.7-0.7","columbia-card-task-hot","false","0","18","487","487","0","test","2","8","1","30","750","240","false","rigged_loss","","","",""
"423","","pre_stim","single-stim-button","21","98067","0.0-2.8-0.8","columbia-card-task-hot","false","0","17","423","423","0","test","2","9","1","30","750","-510","true","rigged_loss","","","",""
"7999","","pre_stim","single-stim-button","22","106067","0.0-2.9-0.9","columbia-card-task-hot","false","0","collectButton","7999","7999","0","test","2","10","1","30","750","-510","true","rigged_loss","","","",""
"14366","","pre_stim","single-stim-button","23","120434","0.0-3.0-0.0","columbia-card-task-hot","false","0","1","14366","14366","0","test","3","1","1","30","750","30","false","rigged_win","","","",""
"535","","pre_stim","single-stim-button","24","120970","0.0-3.1-0.1","columbia-card-task-hot","false","0","2","535","535","0","test","3","2","1","30","750","60","false","rigged_win","","","",""
"1007","","pre_stim","single-stim-button","25","121978","0.0-3.2-0.2","columbia-card-task-hot","false","0","3","1007","1007","0","test","3","3","1","30","750","90","false","rigged_win","","","",""
"1295","","pre_stim","single-stim-button","26","123274","0.0-3.3-0.3","columbia-card-task-hot","false","0","11","1295","1295","0","test","3","4","1","30","750","120","false","rigged_win","","","",""
"719","","pre_stim","single-stim-button","27","123994","0.0-3.4-0.4","columbia-card-task-hot","false","0","10","719","719","0","test","3","5","1","30","750","150","false","rigged_win","","","",""
"1351","","pre_stim","single-stim-button","28","125346","0.0-3.5-0.5","columbia-card-task-hot","false","0","9","1351","1351","0","test","3","6","1","30","750","180","false","rigged_win","","","",""
"1391","","pre_stim","single-stim-button","29","126737","0.0-3.6-0.6","columbia-card-task-hot","false","0","18","1391","1391","0","test","3","7","1","30","750","210","false","rigged_win","","","",""
"1063","","pre_stim","single-stim-button","30","127802","0.0-3.7-0.7","columbia-card-task-hot","false","0","19","1063","1063","0","test","3","8","1","30","750","240","false","rigged_win","","","",""
"1431","","pre_stim","single-stim-button","31","129233","0.0-3.8-0.8","columbia-card-task-hot","false","0","17","1431","1431","0","test","3","9","1","30","750","270","false","rigged_win","","","",""
"679","","pre_stim","single-stim-button","32","129913","0.0-3.9-0.9","columbia-card-task-hot","false","0","25","679","679","0","test","3","10","1","30","750","300","false","rigged_win","","","",""
"791","","pre_stim","single-stim-button","33","130706","0.0-3.10-0.10","columbia-card-task-hot","false","0","26","791","791","0","test","3","11","1","30","750","330","false","rigged_win","","","",""
"495","","pre_stim","single-stim-button","34","131201","0.0-3.11-0.11","columbia-card-task-hot","false","0","27","495","495","0","test","3","12","1","30","750","360","false","rigged_win","","","",""
"12535","","pre_stim","single-stim-button","35","143738","0.0-3.12-0.12","columbia-card-task-hot","false","0","4","12535","12535","0","test","3","13","1","30","750","390","false","rigged_win","","","",""
"7167","","pre_stim","single-stim-button","36","150906","0.0-3.13-0.13","columbia-card-task-hot","false","0","5","7167","7167","0","test","3","14","1","30","750","420","false","rigged_win","","","",""
"839","","pre_stim","single-stim-button","37","151746","0.0-3.14-0.14","columbia-card-task-hot","false","0","12","839","839","0","test","3","15","1","30","750","450","false","rigged_win","","","",""
"6471","","pre_stim","single-stim-button","38","158218","0.0-3.15-0.15","columbia-card-task-hot","false","0","13","6471","6471","0","test","3","16","1","30","750","480","false","rigged_win","","","",""
"6022","","pre_stim","single-stim-button","39","164242","0.0-3.16-0.16","columbia-card-task-hot","false","0","32","6022","6022","0","test","3","17","1","30","750","510","false","rigged_win","","","",""
"10175","","pre_stim","single-stim-button","40","174418","0.0-3.17-0.17","columbia-card-task-hot","false","0","8","10175","10175","0","test","3","18","1","30","750","540","false","rigged_win","","","",""
"4768","","pre_stim","single-stim-button","41","179186","0.0-3.18-0.18","columbia-card-task-hot","false","0","turnButton","4768","4768","0","test","3","18","1","30","750","540","false","rigged_win","","","",""
"5573","","pre_stim","single-stim-button","42","184761","0.0-3.19-0.19","columbia-card-task-hot","false","0","collectButton","5573","5573","0","test","3","19","1","30","750","540","false","rigged_win","","","",""
"9879","","pre_stim","single-stim-button","43","194641","0.0-4.0-0.0","columbia-card-task-hot","false","0","5","9879","9879","0","test","4","1","1","30","250","30","false","rigged_win","","","",""
"1223","","pre_stim","single-stim-button","44","195864","0.0-4.1-0.1","columbia-card-task-hot","false","0","6","1223","1223","0","test","4","2","1","30","250","60","false","rigged_win","","","",""
"14455","","pre_stim","single-stim-button","45","210321","0.0-4.2-0.2","columbia-card-task-hot","false","0","7","14455","14455","0","test","4","3","1","30","250","90","false","rigged_win","","","",""
"1143","","pre_stim","single-stim-button","46","211465","0.0-4.3-0.3","columbia-card-task-hot","false","0","8","1143","1143","0","test","4","4","1","30","250","120","false","rigged_win","","","",""
"1903","","pre_stim","single-stim-button","47","213369","0.0-4.4-0.4","columbia-card-task-hot","false","0","16","1903","1903","0","test","4","5","1","30","250","150","false","rigged_win","","","",""
"454","","pre_stim","single-stim-button","48","213825","0.0-4.5-0.5","columbia-card-task-hot","false","0","15","454","454","0","test","4","6","1","30","250","180","false","rigged_win","","","",""
"447","","pre_stim","single-stim-button","49","214273","0.0-4.6-0.6","columbia-card-task-hot","false","0","14","447","447","0","test","4","7","1","30","250","210","false","rigged_win","","","",""
"1399","","pre_stim","single-stim-button","50","215673","0.0-4.7-0.7","columbia-card-task-hot","false","0","13","1399","1399","0","test","4","8","1","30","250","240","false","rigged_win","","","",""
"798","","pre_stim","single-stim-button","51","216473","0.0-4.8-0.8","columbia-card-task-hot","false","0","21","798","798","0","test","4","9","1","30","250","270","false","rigged_win","","","",""
"551","","pre_stim","single-stim-button","52","217025","0.0-4.9-0.9","columbia-card-task-hot","false","0","22","551","551","0","test","4","10","1","30","250","300","false","rigged_win","","","",""
"599","","pre_stim","single-stim-button","53","217625","0.0-4.10-0.10","columbia-card-task-hot","false","0","23","599","599","0","test","4","11","1","30","250","330","false","rigged_win","","","",""
"1087","","pre_stim","single-stim-button","54","218713","0.0-4.11-0.11","columbia-card-task-hot","false","0","24","1087","1087","0","test","4","12","1","30","250","360","false","rigged_win","","","",""
"4583","","pre_stim","single-stim-button","55","223297","0.0-4.12-0.12","columbia-card-task-hot","false","0","4","4583","4583","0","test","4","13","1","30","250","390","false","rigged_win","","","",""
"711","","pre_stim","single-stim-button","56","224009","0.0-4.13-0.13","columbia-card-task-hot","false","0","12","711","711","0","test","4","14","1","30","250","420","false","rigged_win","","","",""
"519","","pre_stim","single-stim-button","57","224529","0.0-4.14-0.14","columbia-card-task-hot","false","0","20","519","519","0","test","4","15","1","30","250","450","false","rigged_win","","","",""
"1919","","pre_stim","single-stim-button","58","226449","0.0-4.15-0.15","columbia-card-task-hot","false","0","28","1919","1919","0","test","4","16","1","30","250","480","false","rigged_win","","","",""
"590","","pre_stim","single-stim-button","59","227041","0.0-4.16-0.16","columbia-card-task-hot","false","0","29","590","590","0","test","4","17","1","30","250","510","false","rigged_win","","","",""
"3023","","pre_stim","single-stim-button","60","230065","0.0-4.17-0.17","columbia-card-task-hot","false","0","27","3023","3023","0","test","4","18","1","30","250","540","false","rigged_win","","","",""
"1223","","pre_stim","single-stim-button","61","231289","0.0-4.18-0.18","columbia-card-task-hot","false","0","26","1223","1223","0","test","4","19","1","30","250","570","false","rigged_win","","","",""
"24790","","pre_stim","single-stim-button","62","256080","0.0-4.19-0.19","columbia-card-task-hot","false","0","turnButton","24790","24790","0","test","4","19","1","30","250","570","false","rigged_win","","","",""
"4510","","pre_stim","single-stim-button","63","260592","0.0-4.20-0.20","columbia-card-task-hot","false","0","collectButton","4510","4510","0","test","4","20","1","30","250","570","false","rigged_win","","","",""
"7927","","pre_stim","single-stim-button","64","268520","0.0-5.0-0.0","columbia-card-task-hot","false","0","26","7927","7927","0","test","5","1","1","30","750","30","false","rigged_loss","","","",""
"429","","pre_stim","single-stim-button","65","268951","0.0-5.1-0.1","columbia-card-task-hot","false","0","25","429","429","0","test","5","2","1","30","750","60","false","rigged_loss","","","",""
"344","","pre_stim","single-stim-button","66","269296","0.0-5.2-0.2","columbia-card-task-hot","false","0","17","344","344","0","test","5","3","1","30","750","90","false","rigged_loss","","","",""
"351","","pre_stim","single-stim-button","67","269648","0.0-5.3-0.3","columbia-card-task-hot","false","0","18","351","351","0","test","5","4","1","30","750","120","false","rigged_loss","","","",""
"366","","pre_stim","single-stim-button","68","270016","0.0-5.4-0.4","columbia-card-task-hot","false","0","19","366","366","0","test","5","5","1","30","750","150","false","rigged_loss","","","",""
"463","","pre_stim","single-stim-button","69","270480","0.0-5.5-0.5","columbia-card-task-hot","false","0","20","463","463","0","test","5","6","1","30","750","180","false","rigged_loss","","","",""
"423","","pre_stim","single-stim-button","70","270904","0.0-5.6-0.6","columbia-card-task-hot","false","0","28","423","423","0","test","5","7","1","30","750","210","false","rigged_loss","","","",""
"455","","pre_stim","single-stim-button","71","271360","0.0-5.7-0.7","columbia-card-task-hot","false","0","12","455","455","0","test","5","8","1","30","750","-540","true","rigged_loss","","","",""
"4759","","pre_stim","single-stim-button","72","276120","0.0-5.8-0.8","columbia-card-task-hot","false","0","collectButton","4759","4759","0","test","5","9","1","30","750","-540","true","rigged_loss","","","",""
"11207","","pre_stim","single-stim-button","73","287328","0.0-6.0-0.0","columbia-card-task-hot","false","0","1","11207","11207","0","test","6","1","1","30","250","30","false","rigged_loss","","","",""
"367","","pre_stim","single-stim-button","74","287696","0.0-6.1-0.1","columbia-card-task-hot","false","0","2","367","367","0","test","6","2","1","30","250","-220","true","rigged_loss","","","",""
"4734","","pre_stim","single-stim-button","75","292432","0.0-6.2-0.2","columbia-card-task-hot","false","0","collectButton","4734","4734","0","test","6","3","1","30","250","-220","true","rigged_loss","","","",""
"8975","","pre_stim","single-stim-button","76","301408","0.0-7.0-0.0","columbia-card-task-hot","false","0","1","8975","8975","0","test","7","1","3","10","250","10","false","rigged_win","","","",""
"614","","pre_stim","single-stim-button","77","302023","0.0-7.1-0.1","columbia-card-task-hot","false","0","9","614","614","0","test","7","2","3","10","250","20","false","rigged_win","","","",""
"712","","pre_stim","single-stim-button","78","302735","0.0-7.2-0.2","columbia-card-task-hot","false","0","17","712","712","0","test","7","3","3","10","250","30","false","rigged_win","","","",""
"631","","pre_stim","single-stim-button","79","303367","0.0-7.3-0.3","columbia-card-task-hot","false","0","25","631","631","0","test","7","4","3","10","250","40","false","rigged_win","","","",""
"2271","","pre_stim","single-stim-button","80","305639","0.0-7.4-0.4","columbia-card-task-hot","false","0","18","2271","2271","0","test","7","5","3","10","250","50","false","rigged_win","","","",""
"623","","pre_stim","single-stim-button","81","306263","0.0-7.5-0.5","columbia-card-task-hot","false","0","10","623","623","0","test","7","6","3","10","250","60","false","rigged_win","","","",""
"5415","","pre_stim","single-stim-button","82","311680","0.0-7.6-0.6","columbia-card-task-hot","false","0","16","5415","5415","0","test","7","7","3","10","250","70","false","rigged_win","","","",""
"439","","pre_stim","single-stim-button","83","312119","0.0-7.7-0.7","columbia-card-task-hot","false","0","24","439","439","0","test","7","8","3","10","250","80","false","rigged_win","","","",""
"2183","","pre_stim","single-stim-button","84","314303","0.0-7.8-0.8","columbia-card-task-hot","false","0","23","2183","2183","0","test","7","9","3","10","250","90","false","rigged_win","","","",""
"423","","pre_stim","single-stim-button","85","314727","0.0-7.9-0.9","columbia-card-task-hot","false","0","15","423","423","0","test","7","10","3","10","250","100","false","rigged_win","","","",""
"9935","","pre_stim","single-stim-button","86","324663","0.0-7.10-0.10","columbia-card-task-hot","false","0","22","9935","9935","0","test","7","11","3","10","250","110","false","rigged_win","","","",""
"807","","pre_stim","single-stim-button","87","325472","0.0-7.11-0.11","columbia-card-task-hot","false","0","14","807","807","0","test","7","12","3","10","250","120","false","rigged_win","","","",""
"2599","","pre_stim","single-stim-button","88","328072","0.0-7.12-0.12","columbia-card-task-hot","false","0","turnButton","2599","2599","0","test","7","12","3","10","250","120","false","rigged_win","","","",""
"5511","","pre_stim","single-stim-button","89","333583","0.0-7.13-0.13","columbia-card-task-hot","false","0","collectButton","5511","5511","0","test","7","13","3","10","250","120","false","rigged_win","","","",""
"7855","","pre_stim","single-stim-button","90","341440","0.0-8.0-0.0","columbia-card-task-hot","false","0","1","7855","7855","0","test","8","1","3","30","250","30","false","rigged_win","","","",""
"2967","","pre_stim","single-stim-button","91","344407","0.0-8.1-0.1","columbia-card-task-hot","false","0","2","2967","2967","0","test","8","2","3","30","250","60","false","rigged_win","","","",""
"551","","pre_stim","single-stim-button","92","344959","0.0-8.2-0.2","columbia-card-task-hot","false","0","10","551","551","0","test","8","3","3","30","250","90","false","rigged_win","","","",""
"487","","pre_stim","single-stim-button","93","345448","0.0-8.3-0.3","columbia-card-task-hot","false","0","9","487","487","0","test","8","4","3","30","250","120","false","rigged_win","","","",""
"1039","","pre_stim","single-stim-button","94","346487","0.0-8.4-0.4","columbia-card-task-hot","false","0","17","1039","1039","0","test","8","5","3","30","250","150","false","rigged_win","","","",""
"5095","","pre_stim","single-stim-button","95","351583","0.0-8.5-0.5","columbia-card-task-hot","false","0","16","5095","5095","0","test","8","6","3","30","250","180","false","rigged_win","","","",""
"1247","","pre_stim","single-stim-button","96","352831","0.0-8.6-0.6","columbia-card-task-hot","false","0","24","1247","1247","0","test","8","7","3","30","250","210","false","rigged_win","","","",""
"4967","","pre_stim","single-stim-button","97","357799","0.0-8.7-0.7","columbia-card-task-hot","false","0","8","4967","4967","0","test","8","8","3","30","250","240","false","rigged_win","","","",""
"12343","","pre_stim","single-stim-button","98","370143","0.0-8.8-0.8","columbia-card-task-hot","false","0","turnButton","12343","12343","0","test","8","8","3","30","250","240","false","rigged_win","","","",""
"6391","","pre_stim","single-stim-button","99","376535","0.0-8.9-0.9","columbia-card-task-hot","false","0","collectButton","6391","6391","0","test","8","9","3","30","250","240","false","rigged_win","","","",""
"8895","","pre_stim","single-stim-button","100","385432","0.0-9.0-0.0","columbia-card-task-hot","false","0","8","8895","8895","0","test","9","1","3","10","750","10","false","rigged_win","","","",""
"1567","","pre_stim","single-stim-button","101","386999","0.0-9.1-0.1","columbia-card-task-hot","false","0","16","1567","1567","0","test","9","2","3","10","750","20","false","rigged_win","","","",""
"1631","","pre_stim","single-stim-button","102","388631","0.0-9.2-0.2","columbia-card-task-hot","false","0","15","1631","1631","0","test","9","3","3","10","750","30","false","rigged_win","","","",""
"751","","pre_stim","single-stim-button","103","389384","0.0-9.3-0.3","columbia-card-task-hot","false","0","23","751","751","0","test","9","4","3","10","750","40","false","rigged_win","","","",""
"607","","pre_stim","single-stim-button","104","389992","0.0-9.4-0.4","columbia-card-task-hot","false","0","24","607","607","0","test","9","5","3","10","750","50","false","rigged_win","","","",""
"2103","","pre_stim","single-stim-button","105","392095","0.0-9.5-0.5","columbia-card-task-hot","false","0","1","2103","2103","0","test","9","6","3","10","750","60","false","rigged_win","","","",""
"487","","pre_stim","single-stim-button","106","392583","0.0-9.6-0.6","columbia-card-task-hot","false","0","9","487","487","0","test","9","7","3","10","750","70","false","rigged_win","","","",""
"855","","pre_stim","single-stim-button","107","393440","0.0-9.7-0.7","columbia-card-task-hot","false","0","17","855","855","0","test","9","8","3","10","750","80","false","rigged_win","","","",""
"1247","","pre_stim","single-stim-button","108","394687","0.0-9.8-0.8","columbia-card-task-hot","false","0","18","1247","1247","0","test","9","9","3","10","750","90","false","rigged_win","","","",""
"527","","pre_stim","single-stim-button","109","395215","0.0-9.9-0.9","columbia-card-task-hot","false","0","25","527","527","0","test","9","10","3","10","750","100","false","rigged_win","","","",""
"1647","","pre_stim","single-stim-button","110","396863","0.0-9.10-0.10","columbia-card-task-hot","false","0","32","1647","1647","0","test","9","11","3","10","750","110","false","rigged_win","","","",""
"1639","","pre_stim","single-stim-button","111","398504","0.0-9.11-0.11","columbia-card-task-hot","false","0","28","1639","1639","0","test","9","12","3","10","750","120","false","rigged_win","","","",""
"495","","pre_stim","single-stim-button","112","398999","0.0-9.12-0.12","columbia-card-task-hot","false","0","27","495","495","0","test","9","13","3","10","750","130","false","rigged_win","","","",""
"8711","","pre_stim","single-stim-button","113","407712","0.0-9.13-0.13","columbia-card-task-hot","false","0","19","8711","8711","0","test","9","14","3","10","750","140","false","rigged_win","","","",""
"495","","pre_stim","single-stim-button","114","408208","0.0-9.14-0.14","columbia-card-task-hot","false","0","20","495","495","0","test","9","15","3","10","750","150","false","rigged_win","","","",""
"3719","","pre_stim","single-stim-button","115","411927","0.0-9.15-0.15","columbia-card-task-hot","false","0","turnButton","3719","3719","0","test","9","15","3","10","750","150","false","rigged_win","","","",""
"7207","","pre_stim","single-stim-button","116","419135","0.0-9.16-0.16","columbia-card-task-hot","false","0","collectButton","7207","7207","0","test","9","16","3","10","750","150","false","rigged_win","","","",""
"11695","","pre_stim","single-stim-button","117","430831","0.0-10.0-0.0","columbia-card-task-hot","false","0","9","11695","11695","0","test","10","1","3","30","750","30","false","rigged_win","","","",""
"1495","","pre_stim","single-stim-button","118","432327","0.0-10.1-0.1","columbia-card-task-hot","false","0","2","1495","1495","0","test","10","2","3","30","750","60","false","rigged_win","","","",""
"615","","pre_stim","single-stim-button","119","432944","0.0-10.2-0.2","columbia-card-task-hot","false","0","3","615","615","0","test","10","3","3","30","750","90","false","rigged_win","","","",""
"887","","pre_stim","single-stim-button","120","433831","0.0-10.3-0.3","columbia-card-task-hot","false","0","10","887","887","0","test","10","4","3","30","750","120","false","rigged_win","","","",""
"639","","pre_stim","single-stim-button","121","434472","0.0-10.4-0.4","columbia-card-task-hot","false","0","11","639","639","0","test","10","5","3","30","750","150","false","rigged_win","","","",""
"1863","","pre_stim","single-stim-button","122","436335","0.0-10.5-0.5","columbia-card-task-hot","false","0","4","1863","1863","0","test","10","6","3","30","750","180","false","rigged_win","","","",""
"2399","","pre_stim","single-stim-button","123","438735","0.0-10.6-0.6","columbia-card-task-hot","false","0","12","2399","2399","0","test","10","7","3","30","750","210","false","rigged_win","","","",""
