"rt","responses","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","mouse_click","stim_duration","block_duration","timing_post_trial","exp_stage","which_round","num_click_in_round","num_loss_cards","gain_amount","loss_amount","round_points","clicked_on_loss_card","round_type","credit_var","performance_var","text","key_press"
"10655","{""Q0"":""0Uubv""}","pre task questions","survey-text","0","10657","0.0-0.0","columbia-card-task-hot","false","0","","","","","","","","","","","","","","","","",""
"6446","","pre_stim","single-stim-button","1","18105","0.0-1.0-0.0","columbia-card-task-hot","false","0","1","6446","6446","0","test","1","1","1","10","250","10","false","rigged_win","","","",""
"790","","pre_stim","single-stim-button","2","18896","0.0-1.1-0.1","columbia-card-task-hot","false","0","2","790","790","0","test","1","2","1","10","250","20","false","rigged_win","","","",""
"975","","pre_stim","single-stim-button","3","19872","0.0-1.2-0.2","columbia-card-task-hot","false","0","3","975","975","0","test","1","3","1","10","250","30","false","rigged_win","","","",""
"1111","","pre_stim","single-stim-button","4","20984","0.0-1.3-0.3","columbia-card-task-hot","false","0","9","1111","1111","0","test","1","4","1","10","250","40","false","rigged_win","","","",""
"1103","","pre_stim","single-stim-button","5","22087","0.0-1.4-0.4","columbia-card-task-hot","false","0","17","1103","1103","0","test","1","5","1","10","250","50","false","rigged_win","","","",""
"1055","","pre_stim","single-stim-button","6","23143","0.0-1.5-0.5","columbia-card-task-hot","false","0","25","1055","1055","0","test","1","6","1","10","250","60","false","rigged_win","","","",""
"1199","","pre_stim","single-stim-button","7","24344","0.0-1.6-0.6","columbia-card-task-hot","false","0","18","1199","1199","0","test","1","7","1","10","250","70","false","rigged_win","","","",""
"1567","","pre_stim","single-stim-button","8","25912","0.0-1.7-0.7","columbia-card-task-hot","false","0","11","1567","1567","0","test","1","8","1","10","250","80","false","rigged_win","","","",""
"2063","","pre_stim","single-stim-button","9","27976","0.0-1.8-0.8","columbia-card-task-hot","false","0","5","2063","2063","0","test","1","9","1","10","250","90","false","rigged_win","","","",""
"687","","pre_stim","single-stim-button","10","28664","0.0-1.9-0.9","columbia-card-task-hot","false","0","12","687","687","0","test","1","10","1","10","250","100","false","rigged_win","","","",""
"703","","pre_stim","single-stim-button","11","29368","0.0-1.10-0.10","columbia-card-task-hot","false","0","4","703","703","0","test","1","11","1","10","250","110","false","rigged_win","","","",""
"2199","","pre_stim","single-stim-button","12","31568","0.0-1.11-0.11","columbia-card-task-hot","false","0","6","2199","2199","0","test","1","12","1","10","250","120","false","rigged_win","","","",""
"975","","pre_stim","single-stim-button","13","32544","0.0-1.12-0.12","columbia-card-task-hot","false","0","7","975","975","0","test","1","13","1","10","250","130","false","rigged_win","","","",""
"1559","","pre_stim","single-stim-button","14","34104","0.0-1.13-0.13","columbia-card-task-hot","false","0","8","1559","1559","0","test","1","14","1","10","250","140","false","rigged_win","","","",""
"735","","pre_stim","single-stim-button","15","34840","0.0-1.14-0.14","columbia-card-task-hot","false","0","16","735","735","0","test","1","15","1","10","250","150","false","rigged_win","","","",""
"895","","pre_stim","single-stim-button","16","35735","0.0-1.15-0.15","columbia-card-task-hot","false","0","24","895","895","0","test","1","16","1","10","250","160","false","rigged_win","","","",""
"888","","pre_stim","single-stim-button","17","36623","0.0-1.16-0.16","columbia-card-task-hot","false","0","32","888","888","0","test","1","17","1","10","250","170","false","rigged_win","","","",""
"911","","pre_stim","single-stim-button","18","37535","0.0-1.17-0.17","columbia-card-task-hot","false","0","31","911","911","0","test","1","18","1","10","250","180","false","rigged_win","","","",""
"1000","","pre_stim","single-stim-button","19","38536","0.0-1.18-0.18","columbia-card-task-hot","false","0","30","1000","1000","0","test","1","19","1","10","250","190","false","rigged_win","","","",""
"919","","pre_stim","single-stim-button","20","39455","0.0-1.19-0.19","columbia-card-task-hot","false","0","29","919","919","0","test","1","20","1","10","250","200","false","rigged_win","","","",""
"1071","","pre_stim","single-stim-button","21","40527","0.0-1.20-0.20","columbia-card-task-hot","false","0","22","1071","1071","0","test","1","21","1","10","250","210","false","rigged_win","","","",""
"1215","","pre_stim","single-stim-button","22","41744","0.0-1.21-0.21","columbia-card-task-hot","false","0","15","1215","1215","0","test","1","22","1","10","250","220","false","rigged_win","","","",""
"823","","pre_stim","single-stim-button","23","42568","0.0-1.22-0.22","columbia-card-task-hot","false","0","13","823","823","0","test","1","23","1","10","250","230","false","rigged_win","","","",""
"4135","","pre_stim","single-stim-button","24","46703","0.0-1.23-0.23","columbia-card-task-hot","false","0","27","4135","4135","0","test","1","24","1","10","250","240","false","rigged_win","","","",""
"1303","","pre_stim","single-stim-button","25","48007","0.0-1.24-0.24","columbia-card-task-hot","false","0","20","1303","1303","0","test","1","25","1","10","250","250","false","rigged_win","","","",""
"991","","pre_stim","single-stim-button","26","48999","0.0-1.25-0.25","columbia-card-task-hot","false","0","26","991","991","0","test","1","26","1","10","250","260","false","rigged_win","","","",""
"887","","pre_stim","single-stim-button","27","49887","0.0-1.26-0.26","columbia-card-task-hot","false","0","28","887","887","0","test","1","27","1","10","250","270","false","rigged_win","","","",""
"1423","","pre_stim","single-stim-button","28","51311","0.0-1.27-0.27","columbia-card-task-hot","false","0","21","1423","1423","0","test","1","28","1","10","250","280","false","rigged_win","","","",""
"1071","","pre_stim","single-stim-button","29","52383","0.0-1.28-0.28","columbia-card-task-hot","false","0","19","1071","1071","0","test","1","29","1","10","250","290","false","rigged_win","","","",""
"1751","","pre_stim","single-stim-button","30","54136","0.0-1.29-0.29","columbia-card-task-hot","false","0","14","1751","1751","0","test","1","30","1","10","250","300","false","rigged_win","","","",""
"1151","","pre_stim","single-stim-button","31","55288","0.0-1.30-0.30","columbia-card-task-hot","false","0","23","1151","1151","0","test","1","31","1","10","250","310","false","rigged_win","","","",""
"1335","","pre_stim","single-stim-button","32","56623","0.0-1.31-0.31","columbia-card-task-hot","false","0","turnButton","1335","1335","0","test","1","31","1","10","250","310","false","rigged_win","","","",""
"2775","","pre_stim","single-stim-button","33","59399","0.0-1.32-0.32","columbia-card-task-hot","false","0","collectButton","2775","2775","0","test","1","32","1","10","250","310","false","rigged_win","","","",""
"6752","","pre_stim","single-stim-button","34","66152","0.0-2.0-0.0","columbia-card-task-hot","false","0","1","6752","6752","0","test","2","1","1","30","250","30","false","rigged_loss","","","",""
"1063","","pre_stim","single-stim-button","35","67216","0.0-2.1-0.1","columbia-card-task-hot","false","0","2","1063","1063","0","test","2","2","1","30","250","60","false","rigged_loss","","","",""
"1199","","pre_stim","single-stim-button","36","68415","0.0-2.2-0.2","columbia-card-task-hot","false","0","3","1199","1199","0","test","2","3","1","30","250","90","false","rigged_loss","","","",""
"1687","","pre_stim","single-stim-button","37","70104","0.0-2.3-0.3","columbia-card-task-hot","false","0","10","1687","1687","0","test","2","4","1","30","250","-160","true","rigged_loss","","","",""
"4047","","pre_stim","single-stim-button","38","74151","0.0-2.4-0.4","columbia-card-task-hot","false","0","collectButton","4047","4047","0","test","2","5","1","30","250","-160","true","rigged_loss","","","",""
"6655","","pre_stim","single-stim-button","39","80808","0.0-3.0-0.0","columbia-card-task-hot","false","0","32","6655","6655","0","test","3","1","1","30","750","30","false","rigged_win","","","",""
"775","","pre_stim","single-stim-button","40","81583","0.0-3.1-0.1","columbia-card-task-hot","false","0","31","775","775","0","test","3","2","1","30","750","60","false","rigged_win","","","",""
"767","","pre_stim","single-stim-button","41","82351","0.0-3.2-0.2","columbia-card-task-hot","false","0","30","767","767","0","test","3","3","1","30","750","90","false","rigged_win","","","",""
"711","","pre_stim","single-stim-button","42","83064","0.0-3.3-0.3","columbia-card-task-hot","false","0","29","711","711","0","test","3","4","1","30","750","120","false","rigged_win","","","",""
"759","","pre_stim","single-stim-button","43","83824","0.0-3.4-0.4","columbia-card-task-hot","false","0","28","759","759","0","test","3","5","1","30","750","150","false","rigged_win","","","",""
"1015","","pre_stim","single-stim-button","44","84839","0.0-3.5-0.5","columbia-card-task-hot","false","0","27","1015","1015","0","test","3","6","1","30","750","180","false","rigged_win","","","",""
"495","","pre_stim","single-stim-button","45","85335","0.0-3.6-0.6","columbia-card-task-hot","false","0","26","495","495","0","test","3","7","1","30","750","210","false","rigged_win","","","",""
"503","","pre_stim","single-stim-button","46","85840","0.0-3.7-0.7","columbia-card-task-hot","false","0","25","503","503","0","test","3","8","1","30","750","240","false","rigged_win","","","",""
"791","","pre_stim","single-stim-button","47","86631","0.0-3.8-0.8","columbia-card-task-hot","false","0","17","791","791","0","test","3","9","1","30","750","270","false","rigged_win","","","",""
"879","","pre_stim","single-stim-button","48","87512","0.0-3.9-0.9","columbia-card-task-hot","false","0","9","879","879","0","test","3","10","1","30","750","300","false","rigged_win","","","",""
"1231","","pre_stim","single-stim-button","49","88744","0.0-3.10-0.10","columbia-card-task-hot","false","0","1","1231","1231","0","test","3","11","1","30","750","330","false","rigged_win","","","",""
"591","","pre_stim","single-stim-button","50","89336","0.0-3.11-0.11","columbia-card-task-hot","false","0","2","591","591","0","test","3","12","1","30","750","360","false","rigged_win","","","",""
"575","","pre_stim","single-stim-button","51","89912","0.0-3.12-0.12","columbia-card-task-hot","false","0","10","575","575","0","test","3","13","1","30","750","390","false","rigged_win","","","",""
"583","","pre_stim","single-stim-button","52","90495","0.0-3.13-0.13","columbia-card-task-hot","false","0","18","583","583","0","test","3","14","1","30","750","420","false","rigged_win","","","",""
"799","","pre_stim","single-stim-button","53","91296","0.0-3.14-0.14","columbia-card-task-hot","false","0","19","799","799","0","test","3","15","1","30","750","450","false","rigged_win","","","",""
"647","","pre_stim","single-stim-button","54","91944","0.0-3.15-0.15","columbia-card-task-hot","false","0","11","647","647","0","test","3","16","1","30","750","480","false","rigged_win","","","",""
"687","","pre_stim","single-stim-button","55","92631","0.0-3.16-0.16","columbia-card-task-hot","false","0","3","687","687","0","test","3","17","1","30","750","510","false","rigged_win","","","",""
"488","","pre_stim","single-stim-button","56","93120","0.0-3.17-0.17","columbia-card-task-hot","false","0","4","488","488","0","test","3","18","1","30","750","540","false","rigged_win","","","",""
"591","","pre_stim","single-stim-button","57","93712","0.0-3.18-0.18","columbia-card-task-hot","false","0","12","591","591","0","test","3","19","1","30","750","570","false","rigged_win","","","",""
