"rt","responses","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","mouse_click","stim_duration","block_duration","timing_post_trial","exp_stage","which_round","num_click_in_round","num_loss_cards","gain_amount","loss_amount","round_points","clicked_on_loss_card","round_type","credit_var","performance_var","text","key_press"
"13008","{""Q0"":""-p0T1""}","pre task questions","survey-text","0","13011","0.0-0.0","columbia-card-task-hot","false","0","","","","","","","","","","","","","","","","",""
"6414","","pre_stim","single-stim-button","1","20427","0.0-1.0-0.0","columbia-card-task-hot","false","0","4","6414","6414","0","test","1","1","1","30","250","30","false","rigged_loss","","","",""
"1022","","pre_stim","single-stim-button","2","21450","0.0-1.1-0.1","columbia-card-task-hot","false","0","27","1022","1022","0","test","1","2","1","30","250","60","false","rigged_loss","","","",""
"431","","pre_stim","single-stim-button","3","21882","0.0-1.2-0.2","columbia-card-task-hot","false","0","19","431","431","0","test","1","3","1","30","250","90","false","rigged_loss","","","",""
"935","","pre_stim","single-stim-button","4","22818","0.0-1.3-0.3","columbia-card-task-hot","false","0","10","935","935","0","test","1","4","1","30","250","120","false","rigged_loss","","","",""
"927","","pre_stim","single-stim-button","5","23746","0.0-1.4-0.4","columbia-card-task-hot","false","0","23","927","927","0","test","1","5","1","30","250","150","false","rigged_loss","","","",""
"407","","pre_stim","single-stim-button","6","24154","0.0-1.5-0.5","columbia-card-task-hot","false","0","24","407","407","0","test","1","6","1","30","250","180","false","rigged_loss","","","",""
"775","","pre_stim","single-stim-button","7","24930","0.0-1.6-0.6","columbia-card-task-hot","false","0","30","775","775","0","test","1","7","1","30","250","210","false","rigged_loss","","","",""
"1127","","pre_stim","single-stim-button","8","26058","0.0-1.7-0.7","columbia-card-task-hot","false","0","15","1127","1127","0","test","1","8","1","30","250","240","false","rigged_loss","","","",""
"687","","pre_stim","single-stim-button","9","26746","0.0-1.8-0.8","columbia-card-task-hot","false","0","7","687","687","0","test","1","9","1","30","250","270","false","rigged_loss","","","",""
"2415","","pre_stim","single-stim-button","10","29162","0.0-1.9-0.9","columbia-card-task-hot","false","0","turnButton","2415","2415","0","test","1","9","1","30","250","270","false","rigged_loss","","","",""
"1606","","pre_stim","single-stim-button","11","30770","0.0-1.10-0.10","columbia-card-task-hot","false","0","collectButton","1606","1606","0","test","1","10","1","30","250","270","false","rigged_loss","","","",""
"7335","","pre_stim","single-stim-button","12","38106","0.0-2.0-0.0","columbia-card-task-hot","false","0","4","7335","7335","0","test","2","1","1","10","750","10","false","rigged_win","","","",""
"663","","pre_stim","single-stim-button","13","38770","0.0-2.1-0.1","columbia-card-task-hot","false","0","13","663","663","0","test","2","2","1","10","750","20","false","rigged_win","","","",""
"1231","","pre_stim","single-stim-button","14","40002","0.0-2.2-0.2","columbia-card-task-hot","false","0","19","1231","1231","0","test","2","3","1","10","750","30","false","rigged_win","","","",""
"631","","pre_stim","single-stim-button","15","40634","0.0-2.3-0.3","columbia-card-task-hot","false","0","10","631","631","0","test","2","4","1","10","750","40","false","rigged_win","","","",""
"1383","","pre_stim","single-stim-button","16","42018","0.0-2.4-0.4","columbia-card-task-hot","false","0","25","1383","1383","0","test","2","5","1","10","750","50","false","rigged_win","","","",""
"606","","pre_stim","single-stim-button","17","42626","0.0-2.5-0.5","columbia-card-task-hot","false","0","28","606","606","0","test","2","6","1","10","750","60","false","rigged_win","","","",""
"791","","pre_stim","single-stim-button","18","43418","0.0-2.6-0.6","columbia-card-task-hot","false","0","21","791","791","0","test","2","7","1","10","750","70","false","rigged_win","","","",""
"751","","pre_stim","single-stim-button","19","44170","0.0-2.7-0.7","columbia-card-task-hot","false","0","24","751","751","0","test","2","8","1","10","750","80","false","rigged_win","","","",""
"439","","pre_stim","single-stim-button","20","44610","0.0-2.8-0.8","columbia-card-task-hot","false","0","16","439","439","0","test","2","9","1","10","750","90","false","rigged_win","","","",""
"487","","pre_stim","single-stim-button","21","45098","0.0-2.9-0.9","columbia-card-task-hot","false","0","8","487","487","0","test","2","10","1","10","750","100","false","rigged_win","","","",""
"823","","pre_stim","single-stim-button","22","45921","0.0-2.10-0.10","columbia-card-task-hot","false","0","6","823","823","0","test","2","11","1","10","750","110","false","rigged_win","","","",""
"1511","","pre_stim","single-stim-button","23","47434","0.0-2.11-0.11","columbia-card-task-hot","false","0","turnButton","1511","1511","0","test","2","11","1","10","750","110","false","rigged_win","","","",""
"4382","","pre_stim","single-stim-button","24","51818","0.0-2.12-0.12","columbia-card-task-hot","false","0","collectButton","4382","4382","0","test","2","12","1","10","750","110","false","rigged_win","","","",""
"8447","","pre_stim","single-stim-button","25","60265","0.0-3.0-0.0","columbia-card-task-hot","false","0","23","8447","8447","0","test","3","1","3","10","750","10","false","rigged_win","","","",""
"1935","","pre_stim","single-stim-button","26","62202","0.0-3.1-0.1","columbia-card-task-hot","false","0","20","1935","1935","0","test","3","2","3","10","750","20","false","rigged_win","","","",""
"1223","","pre_stim","single-stim-button","27","63426","0.0-3.2-0.2","columbia-card-task-hot","false","0","4","1223","1223","0","test","3","3","3","10","750","30","false","rigged_win","","","",""
"687","","pre_stim","single-stim-button","28","64114","0.0-3.3-0.3","columbia-card-task-hot","false","0","6","687","687","0","test","3","4","3","10","750","40","false","rigged_win","","","",""
"591","","pre_stim","single-stim-button","29","64705","0.0-3.4-0.4","columbia-card-task-hot","false","0","13","591","591","0","test","3","5","3","10","750","50","false","rigged_win","","","",""
"1127","","pre_stim","single-stim-button","30","65834","0.0-3.5-0.5","columbia-card-task-hot","false","0","16","1127","1127","0","test","3","6","3","10","750","60","false","rigged_win","","","",""
"663","","pre_stim","single-stim-button","31","66497","0.0-3.6-0.6","columbia-card-task-hot","false","0","32","663","663","0","test","3","7","3","10","750","70","false","rigged_win","","","",""
