"rt","responses","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","mouse_click","stim_duration","block_duration","timing_post_trial","exp_stage","which_round","num_click_in_round","num_loss_cards","gain_amount","loss_amount","round_points","clicked_on_loss_card","round_type","credit_var","performance_var","text","key_press"
"14509","{""Q0"":""-p0T1""}","pre task questions","survey-text","0","14511","0.0-0.0","columbia-card-task-hot","false","0","","","","","","","","","","","","","","","","",""
"6541","","pre_stim","single-stim-button","1","22063","0.0-1.0-0.0","columbia-card-task-hot","false","0","7","6541","6541","0","test","1","1","1","10","750","10","false","rigged_loss","","","",""
"549","","pre_stim","single-stim-button","2","22614","0.0-1.1-0.1","columbia-card-task-hot","false","0","15","549","549","0","test","1","2","1","10","750","20","false","rigged_loss","","","",""
"511","","pre_stim","single-stim-button","3","23126","0.0-1.2-0.2","columbia-card-task-hot","false","0","23","511","511","0","test","1","3","1","10","750","30","false","rigged_loss","","","",""
"527","","pre_stim","single-stim-button","4","23654","0.0-1.3-0.3","columbia-card-task-hot","false","0","31","527","527","0","test","1","4","1","10","750","40","false","rigged_loss","","","",""
"608","","pre_stim","single-stim-button","5","24262","0.0-1.4-0.4","columbia-card-task-hot","false","0","30","608","608","0","test","1","5","1","10","750","50","false","rigged_loss","","","",""
"438","","pre_stim","single-stim-button","6","24702","0.0-1.5-0.5","columbia-card-task-hot","false","0","22","438","438","0","test","1","6","1","10","750","60","false","rigged_loss","","","",""
"776","","pre_stim","single-stim-button","7","25478","0.0-1.6-0.6","columbia-card-task-hot","false","0","13","776","776","0","test","1","7","1","10","750","70","false","rigged_loss","","","",""
"839","","pre_stim","single-stim-button","8","26318","0.0-1.7-0.7","columbia-card-task-hot","false","0","4","839","839","0","test","1","8","1","10","750","80","false","rigged_loss","","","",""
"550","","pre_stim","single-stim-button","9","26870","0.0-1.8-0.8","columbia-card-task-hot","false","0","12","550","550","0","test","1","9","1","10","750","90","false","rigged_loss","","","",""
"471","","pre_stim","single-stim-button","10","27342","0.0-1.9-0.9","columbia-card-task-hot","false","0","3","471","471","0","test","1","10","1","10","750","100","false","rigged_loss","","","",""
"407","","pre_stim","single-stim-button","11","27750","0.0-1.10-0.10","columbia-card-task-hot","false","0","11","407","407","0","test","1","11","1","10","750","110","false","rigged_loss","","","",""
"503","","pre_stim","single-stim-button","12","28254","0.0-1.11-0.11","columbia-card-task-hot","false","0","10","503","503","0","test","1","12","1","10","750","120","false","rigged_loss","","","",""
"535","","pre_stim","single-stim-button","13","28790","0.0-1.12-0.12","columbia-card-task-hot","false","0","2","535","535","0","test","1","13","1","10","750","130","false","rigged_loss","","","",""
"544","","pre_stim","single-stim-button","14","29334","0.0-1.13-0.13","columbia-card-task-hot","false","0","1","544","544","0","test","1","14","1","10","750","140","false","rigged_loss","","","",""
"430","","pre_stim","single-stim-button","15","29766","0.0-1.14-0.14","columbia-card-task-hot","false","0","9","430","430","0","test","1","15","1","10","750","150","false","rigged_loss","","","",""
"1319","","pre_stim","single-stim-button","16","31087","0.0-1.15-0.15","columbia-card-task-hot","false","0","20","1319","1319","0","test","1","16","1","10","750","160","false","rigged_loss","","","",""
"2047","","pre_stim","single-stim-button","17","33134","0.0-1.16-0.16","columbia-card-task-hot","false","0","turnButton","2047","2047","0","test","1","16","1","10","750","160","false","rigged_loss","","","",""
"4119","","pre_stim","single-stim-button","18","37254","0.0-1.17-0.17","columbia-card-task-hot","false","0","collectButton","4119","4119","0","test","1","17","1","10","750","160","false","rigged_loss","","","",""
"6543","","pre_stim","single-stim-button","19","43798","0.0-2.0-0.0","columbia-card-task-hot","false","0","8","6543","6543","0","test","2","1","3","10","750","10","false","rigged_win","","","",""
"846","","pre_stim","single-stim-button","20","44646","0.0-2.1-0.1","columbia-card-task-hot","false","0","1","846","846","0","test","2","2","3","10","750","20","false","rigged_win","","","",""
"447","","pre_stim","single-stim-button","21","45094","0.0-2.2-0.2","columbia-card-task-hot","false","0","9","447","447","0","test","2","3","3","10","750","30","false","rigged_win","","","",""
"927","","pre_stim","single-stim-button","22","46022","0.0-2.3-0.3","columbia-card-task-hot","false","0","2","927","927","0","test","2","4","3","10","750","40","false","rigged_win","","","",""
"1008","","pre_stim","single-stim-button","23","47030","0.0-2.4-0.4","columbia-card-task-hot","false","0","19","1008","1008","0","test","2","5","3","10","750","50","false","rigged_win","","","",""
"471","","pre_stim","single-stim-button","24","47503","0.0-2.5-0.5","columbia-card-task-hot","false","0","28","471","471","0","test","2","6","3","10","750","60","false","rigged_win","","","",""
"487","","pre_stim","single-stim-button","25","47990","0.0-2.6-0.6","columbia-card-task-hot","false","0","20","487","487","0","test","2","7","3","10","750","70","false","rigged_win","","","",""
"887","","pre_stim","single-stim-button","26","48878","0.0-2.7-0.7","columbia-card-task-hot","false","0","21","887","887","0","test","2","8","3","10","750","80","false","rigged_win","","","",""
"1567","","pre_stim","single-stim-button","27","50446","0.0-2.8-0.8","columbia-card-task-hot","false","0","22","1567","1567","0","test","2","9","3","10","750","90","false","rigged_win","","","",""
"1599","","pre_stim","single-stim-button","28","52046","0.0-2.9-0.9","columbia-card-task-hot","false","0","turnButton","1599","1599","0","test","2","9","3","10","750","90","false","rigged_win","","","",""
"4151","","pre_stim","single-stim-button","29","56198","0.0-2.10-0.10","columbia-card-task-hot","false","0","collectButton","4151","4151","0","test","2","10","3","10","750","90","false","rigged_win","","","",""
"6487","","pre_stim","single-stim-button","30","62686","0.0-3.0-0.0","columbia-card-task-hot","false","0","15","6487","6487","0","test","3","1","3","10","250","10","false","rigged_win","","","",""
"695","","pre_stim","single-stim-button","31","63382","0.0-3.1-0.1","columbia-card-task-hot","false","0","16","695","695","0","test","3","2","3","10","250","20","false","rigged_win","","","",""
"798","","pre_stim","single-stim-button","32","64182","0.0-3.2-0.2","columbia-card-task-hot","false","0","23","798","798","0","test","3","3","3","10","250","30","false","rigged_win","","","",""
"463","","pre_stim","single-stim-button","33","64646","0.0-3.3-0.3","columbia-card-task-hot","false","0","24","463","463","0","test","3","4","3","10","250","40","false","rigged_win","","","",""
"1263","","pre_stim","single-stim-button","34","65910","0.0-3.4-0.4","columbia-card-task-hot","false","0","31","1263","1263","0","test","3","5","3","10","250","50","false","rigged_win","","","",""
"798","","pre_stim","single-stim-button","35","66710","0.0-3.5-0.5","columbia-card-task-hot","false","0","32","798","798","0","test","3","6","3","10","250","60","false","rigged_win","","","",""
"1023","","pre_stim","single-stim-button","36","67734","0.0-3.6-0.6","columbia-card-task-hot","false","0","22","1023","1023","0","test","3","7","3","10","250","70","false","rigged_win","","","",""
"535","","pre_stim","single-stim-button","37","68270","0.0-3.7-0.7","columbia-card-task-hot","false","0","30","535","535","0","test","3","8","3","10","250","80","false","rigged_win","","","",""
"2878","","pre_stim","single-stim-button","38","71150","0.0-3.8-0.8","columbia-card-task-hot","false","0","14","2878","2878","0","test","3","9","3","10","250","90","false","rigged_win","","","",""
"784","","pre_stim","single-stim-button","39","71934","0.0-3.9-0.9","columbia-card-task-hot","false","0","13","784","784","0","test","3","10","3","10","250","100","false","rigged_win","","","",""
"2126","","pre_stim","single-stim-button","40","74062","0.0-3.10-0.10","columbia-card-task-hot","false","0","5","2126","2126","0","test","3","11","3","10","250","110","false","rigged_win","","","",""
"1271","","pre_stim","single-stim-button","41","75335","0.0-3.11-0.11","columbia-card-task-hot","false","0","turnButton","1271","1271","0","test","3","11","3","10","250","110","false","rigged_win","","","",""
"3215","","pre_stim","single-stim-button","42","78550","0.0-3.12-0.12","columbia-card-task-hot","false","0","collectButton","3215","3215","0","test","3","12","3","10","250","110","false","rigged_win","","","",""
"6358","","pre_stim","single-stim-button","43","84910","0.0-4.0-0.0","columbia-card-task-hot","false","0","5","6358","6358","0","test","4","1","1","30","750","30","false","rigged_win","","","",""
"455","","pre_stim","single-stim-button","44","85366","0.0-4.1-0.1","columbia-card-task-hot","false","0","4","455","455","0","test","4","2","1","30","750","60","false","rigged_win","","","",""
"527","","pre_stim","single-stim-button","45","85894","0.0-4.2-0.2","columbia-card-task-hot","false","0","3","527","527","0","test","4","3","1","30","750","90","false","rigged_win","","","",""
"431","","pre_stim","single-stim-button","46","86326","0.0-4.3-0.3","columbia-card-task-hot","false","0","2","431","431","0","test","4","4","1","30","750","120","false","rigged_win","","","",""
"488","","pre_stim","single-stim-button","47","86814","0.0-4.4-0.4","columbia-card-task-hot","false","0","1","488","488","0","test","4","5","1","30","750","150","false","rigged_win","","","",""
"518","","pre_stim","single-stim-button","48","87334","0.0-4.5-0.5","columbia-card-task-hot","false","0","9","518","518","0","test","4","6","1","30","750","180","false","rigged_win","","","",""
"415","","pre_stim","single-stim-button","49","87750","0.0-4.6-0.6","columbia-card-task-hot","false","0","10","415","415","0","test","4","7","1","30","750","210","false","rigged_win","","","",""
"902","","pre_stim","single-stim-button","50","88653","0.0-4.7-0.7","columbia-card-task-hot","false","0","12","902","902","0","test","4","8","1","30","750","240","false","rigged_win","","","",""
"535","","pre_stim","single-stim-button","51","89190","0.0-4.8-0.8","columbia-card-task-hot","false","0","11","535","535","0","test","4","9","1","30","750","270","false","rigged_win","","","",""
"528","","pre_stim","single-stim-button","52","89718","0.0-4.9-0.9","columbia-card-task-hot","false","0","13","528","528","0","test","4","10","1","30","750","300","false","rigged_win","","","",""
"686","","pre_stim","single-stim-button","53","90406","0.0-4.10-0.10","columbia-card-task-hot","false","0","21","686","686","0","test","4","11","1","30","750","330","false","rigged_win","","","",""
"527","","pre_stim","single-stim-button","54","90934","0.0-4.11-0.11","columbia-card-task-hot","false","0","20","527","527","0","test","4","12","1","30","750","360","false","rigged_win","","","",""
"479","","pre_stim","single-stim-button","55","91414","0.0-4.12-0.12","columbia-card-task-hot","false","0","19","479","479","0","test","4","13","1","30","750","390","false","rigged_win","","","",""
"495","","pre_stim","single-stim-button","56","91910","0.0-4.13-0.13","columbia-card-task-hot","false","0","18","495","495","0","test","4","14","1","30","750","420","false","rigged_win","","","",""
"519","","pre_stim","single-stim-button","57","92430","0.0-4.14-0.14","columbia-card-task-hot","false","0","17","519","519","0","test","4","15","1","30","750","450","false","rigged_win","","","",""
"736","","pre_stim","single-stim-button","58","93166","0.0-4.15-0.15","columbia-card-task-hot","false","0","25","736","736","0","test","4","16","1","30","750","480","false","rigged_win","","","",""
"486","","pre_stim","single-stim-button","59","93654","0.0-4.16-0.16","columbia-card-task-hot","false","0","26","486","486","0","test","4","17","1","30","750","510","false","rigged_win","","","",""
"502","","pre_stim","single-stim-button","60","94158","0.0-4.17-0.17","columbia-card-task-hot","false","0","27","502","502","0","test","4","18","1","30","750","540","false","rigged_win","","","",""
"1822","","pre_stim","single-stim-button","61","95982","0.0-4.18-0.18","columbia-card-task-hot","false","0","turnButton","1822","1822","0","test","4","18","1","30","750","540","false","rigged_win","","","",""
"4862","","pre_stim","single-stim-button","62","100846","0.0-4.19-0.19","columbia-card-task-hot","false","0","collectButton","4862","4862","0","test","4","19","1","30","750","540","false","rigged_win","","","",""
"6679","","pre_stim","single-stim-button","63","107526","0.0-5.0-0.0","columbia-card-task-hot","false","0","11","6679","6679","0","test","5","1","3","30","750","30","false","rigged_loss","","","",""
"647","","pre_stim","single-stim-button","64","108174","0.0-5.1-0.1","columbia-card-task-hot","false","0","19","647","647","0","test","5","2","3","30","750","60","false","rigged_loss","","","",""
"447","","pre_stim","single-stim-button","65","108622","0.0-5.2-0.2","columbia-card-task-hot","false","0","20","447","447","0","test","5","3","3","30","750","90","false","rigged_loss","","","",""
"447","","pre_stim","single-stim-button","66","109070","0.0-5.3-0.3","columbia-card-task-hot","false","0","21","447","447","0","test","5","4","3","30","750","120","false","rigged_loss","","","",""
"1166","","pre_stim","single-stim-button","67","110238","0.0-5.4-0.4","columbia-card-task-hot","false","0","14","1166","1166","0","test","5","5","3","30","750","150","false","rigged_loss","","","",""
