"rt","responses","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","mouse_click","stim_duration","block_duration","timing_post_trial","exp_stage","which_round","num_click_in_round","num_loss_cards","gain_amount","loss_amount","round_points","clicked_on_loss_card","round_type","credit_var","performance_var","text","key_press"
"9877","{""Q0"":""SV2Og""}","pre task questions","survey-text","0","9880","0.0-0.0","columbia-card-task-hot","true","0","","","","","","","","","","","","","","","","",""
"6920","","pre_stim","single-stim-button","1","17808","0.0-1.0-0.0","columbia-card-task-hot","true","0","1","6920","6920","0","test","1","1","3","10","750","10","false","rigged_win","","","",""
"718","","pre_stim","single-stim-button","2","18527","0.0-1.1-0.1","columbia-card-task-hot","true","0","2","718","718","0","test","1","2","3","10","750","20","false","rigged_win","","","",""
"880","","pre_stim","single-stim-button","3","19407","0.0-1.2-0.2","columbia-card-task-hot","true","0","3","880","880","0","test","1","3","3","10","750","30","false","rigged_win","","","",""
"911","","pre_stim","single-stim-button","4","20319","0.0-1.3-0.3","columbia-card-task-hot","true","0","4","911","911","0","test","1","4","3","10","750","40","false","rigged_win","","","",""
"615","","pre_stim","single-stim-button","5","20935","0.0-1.4-0.4","columbia-card-task-hot","true","0","5","615","615","0","test","1","5","3","10","750","50","false","rigged_win","","","",""
"687","","pre_stim","single-stim-button","6","21623","0.0-1.5-0.5","columbia-card-task-hot","true","0","6","687","687","0","test","1","6","3","10","750","60","false","rigged_win","","","",""
"1063","","pre_stim","single-stim-button","7","22687","0.0-1.6-0.6","columbia-card-task-hot","true","0","11","1063","1063","0","test","1","7","3","10","750","70","false","rigged_win","","","",""
"679","","pre_stim","single-stim-button","8","23367","0.0-1.7-0.7","columbia-card-task-hot","true","0","12","679","679","0","test","1","8","3","10","750","80","false","rigged_win","","","",""
"3040","","pre_stim","single-stim-button","9","26407","0.0-1.8-0.8","columbia-card-task-hot","true","0","15","3040","3040","0","test","1","9","3","10","750","90","false","rigged_win","","","",""
"2086","","pre_stim","single-stim-button","10","28495","0.0-1.9-0.9","columbia-card-task-hot","true","0","22","2086","2086","0","test","1","10","3","10","750","100","false","rigged_win","","","",""
"1031","","pre_stim","single-stim-button","11","29527","0.0-1.10-0.10","columbia-card-task-hot","true","0","20","1031","1031","0","test","1","11","3","10","750","110","false","rigged_win","","","",""
"1127","","pre_stim","single-stim-button","12","30655","0.0-1.11-0.11","columbia-card-task-hot","true","0","18","1127","1127","0","test","1","12","3","10","750","120","false","rigged_win","","","",""
"5368","","pre_stim","single-stim-button","13","36023","0.0-1.12-0.12","columbia-card-task-hot","true","0","26","5368","5368","0","test","1","13","3","10","750","130","false","rigged_win","","","",""
"1318","","pre_stim","single-stim-button","14","37343","0.0-1.13-0.13","columbia-card-task-hot","true","0","turnButton","1318","1318","0","test","1","13","3","10","750","130","false","rigged_win","","","",""
"6743","","pre_stim","single-stim-button","15","44087","0.0-1.14-0.14","columbia-card-task-hot","true","0","collectButton","6743","6743","0","test","1","14","3","10","750","130","false","rigged_win","","","",""
"7680","","pre_stim","single-stim-button","16","51768","0.0-2.0-0.0","columbia-card-task-hot","true","0","20","7680","7680","0","test","2","1","3","10","250","10","false","rigged_win","","","",""
"919","","pre_stim","single-stim-button","17","52687","0.0-2.1-0.1","columbia-card-task-hot","true","0","12","919","919","0","test","2","2","3","10","250","20","false","rigged_win","","","",""
"848","","pre_stim","single-stim-button","18","53535","0.0-2.2-0.2","columbia-card-task-hot","true","0","4","848","848","0","test","2","3","3","10","250","30","false","rigged_win","","","",""
"870","","pre_stim","single-stim-button","19","54407","0.0-2.3-0.3","columbia-card-task-hot","true","0","5","870","870","0","test","2","4","3","10","250","40","false","rigged_win","","","",""
"800","","pre_stim","single-stim-button","20","55207","0.0-2.4-0.4","columbia-card-task-hot","true","0","6","800","800","0","test","2","5","3","10","250","50","false","rigged_win","","","",""
"840","","pre_stim","single-stim-button","21","56047","0.0-2.5-0.5","columbia-card-task-hot","true","0","14","840","840","0","test","2","6","3","10","250","60","false","rigged_win","","","",""
"1119","","pre_stim","single-stim-button","22","57167","0.0-2.6-0.6","columbia-card-task-hot","true","0","22","1119","1119","0","test","2","7","3","10","250","70","false","rigged_win","","","",""
"1319","","pre_stim","single-stim-button","23","58487","0.0-2.7-0.7","columbia-card-task-hot","true","0","15","1319","1319","0","test","2","8","3","10","250","80","false","rigged_win","","","",""
"759","","pre_stim","single-stim-button","24","59247","0.0-2.8-0.8","columbia-card-task-hot","true","0","8","759","759","0","test","2","9","3","10","250","90","false","rigged_win","","","",""
"975","","pre_stim","single-stim-button","25","60223","0.0-2.9-0.9","columbia-card-task-hot","true","0","1","975","975","0","test","2","10","3","10","250","100","false","rigged_win","","","",""
"767","","pre_stim","single-stim-button","26","60991","0.0-2.10-0.10","columbia-card-task-hot","true","0","2","767","767","0","test","2","11","3","10","250","110","false","rigged_win","","","",""
"695","","pre_stim","single-stim-button","27","61687","0.0-2.11-0.11","columbia-card-task-hot","true","0","10","695","695","0","test","2","12","3","10","250","120","false","rigged_win","","","",""
"632","","pre_stim","single-stim-button","28","62319","0.0-2.12-0.12","columbia-card-task-hot","true","0","9","632","632","0","test","2","13","3","10","250","130","false","rigged_win","","","",""
"2847","","pre_stim","single-stim-button","29","65167","0.0-2.13-0.13","columbia-card-task-hot","true","0","18","2847","2847","0","test","2","14","3","10","250","140","false","rigged_win","","","",""
"2367","","pre_stim","single-stim-button","30","67535","0.0-2.14-0.14","columbia-card-task-hot","true","0","25","2367","2367","0","test","2","15","3","10","250","150","false","rigged_win","","","",""
"2263","","pre_stim","single-stim-button","31","69799","0.0-2.15-0.15","columbia-card-task-hot","true","0","31","2263","2263","0","test","2","16","3","10","250","160","false","rigged_win","","","",""
"1383","","pre_stim","single-stim-button","32","71182","0.0-2.16-0.16","columbia-card-task-hot","true","0","24","1383","1383","0","test","2","17","3","10","250","170","false","rigged_win","","","",""
"4767","","pre_stim","single-stim-button","33","75951","0.0-2.17-0.17","columbia-card-task-hot","true","0","11","4767","4767","0","test","2","18","3","10","250","180","false","rigged_win","","","",""
"4543","","pre_stim","single-stim-button","34","80494","0.0-2.18-0.18","columbia-card-task-hot","true","0","turnButton","4543","4543","0","test","2","18","3","10","250","180","false","rigged_win","","","",""
"6127","","pre_stim","single-stim-button","35","86622","0.0-2.19-0.19","columbia-card-task-hot","true","0","collectButton","6127","6127","0","test","2","19","3","10","250","180","false","rigged_win","","","",""
"6855","","pre_stim","single-stim-button","36","93479","0.0-3.0-0.0","columbia-card-task-hot","true","0","12","6855","6855","0","test","3","1","1","30","750","30","false","rigged_win","","","",""
"615","","pre_stim","single-stim-button","37","94095","0.0-3.1-0.1","columbia-card-task-hot","true","0","4","615","615","0","test","3","2","1","30","750","60","false","rigged_win","","","",""
"599","","pre_stim","single-stim-button","38","94694","0.0-3.2-0.2","columbia-card-task-hot","true","0","5","599","599","0","test","3","3","1","30","750","90","false","rigged_win","","","",""
"535","","pre_stim","single-stim-button","39","95230","0.0-3.3-0.3","columbia-card-task-hot","true","0","6","535","535","0","test","3","4","1","30","750","120","false","rigged_win","","","",""
"503","","pre_stim","single-stim-button","40","95734","0.0-3.4-0.4","columbia-card-task-hot","true","0","7","503","503","0","test","3","5","1","30","750","150","false","rigged_win","","","",""
"631","","pre_stim","single-stim-button","41","96367","0.0-3.5-0.5","columbia-card-task-hot","true","0","8","631","631","0","test","3","6","1","30","750","180","false","rigged_win","","","",""
"479","","pre_stim","single-stim-button","42","96847","0.0-3.6-0.6","columbia-card-task-hot","true","0","16","479","479","0","test","3","7","1","30","750","210","false","rigged_win","","","",""
"1287","","pre_stim","single-stim-button","43","98135","0.0-3.7-0.7","columbia-card-task-hot","true","0","15","1287","1287","0","test","3","8","1","30","750","240","false","rigged_win","","","",""
"479","","pre_stim","single-stim-button","44","98614","0.0-3.8-0.8","columbia-card-task-hot","true","0","14","479","479","0","test","3","9","1","30","750","270","false","rigged_win","","","",""
"479","","pre_stim","single-stim-button","45","99095","0.0-3.9-0.9","columbia-card-task-hot","true","0","13","479","479","0","test","3","10","1","30","750","300","false","rigged_win","","","",""
"935","","pre_stim","single-stim-button","46","100030","0.0-3.10-0.10","columbia-card-task-hot","true","0","1","935","935","0","test","3","11","1","30","750","330","false","rigged_win","","","",""
"495","","pre_stim","single-stim-button","47","100526","0.0-3.11-0.11","columbia-card-task-hot","true","0","2","495","495","0","test","3","12","1","30","750","360","false","rigged_win","","","",""
"455","","pre_stim","single-stim-button","48","100982","0.0-3.12-0.12","columbia-card-task-hot","true","0","3","455","455","0","test","3","13","1","30","750","390","false","rigged_win","","","",""
