"rt","responses","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","mouse_click","stim_duration","block_duration","timing_post_trial","exp_stage","which_round","num_click_in_round","num_loss_cards","gain_amount","loss_amount","round_points","clicked_on_loss_card","round_type","credit_var","performance_var","text","key_press"
"24893","{""Q0"":""woVXz""}","pre task questions","survey-text","0","24895","0.0-0.0","columbia-card-task-hot","true","0","","","","","","","","","","","","","","","","",""
"6150","","pre_stim","single-stim-button","1","32055","0.0-1.0-0.0","columbia-card-task-hot","true","0","5","6150","6150","0","test","1","1","1","10","750","10","false","rigged_win","","","",""
"510","","pre_stim","single-stim-button","2","32566","0.0-1.1-0.1","columbia-card-task-hot","true","0","6","510","510","0","test","1","2","1","10","750","20","false","rigged_win","","","",""
"503","","pre_stim","single-stim-button","3","33070","0.0-1.2-0.2","columbia-card-task-hot","true","0","7","503","503","0","test","1","3","1","10","750","30","false","rigged_win","","","",""
"447","","pre_stim","single-stim-button","4","33518","0.0-1.3-0.3","columbia-card-task-hot","true","0","8","447","447","0","test","1","4","1","10","750","40","false","rigged_win","","","",""
"1095","","pre_stim","single-stim-button","5","34614","0.0-1.4-0.4","columbia-card-task-hot","true","0","4","1095","1095","0","test","1","5","1","10","750","50","false","rigged_win","","","",""
"503","","pre_stim","single-stim-button","6","35118","0.0-1.5-0.5","columbia-card-task-hot","true","0","3","503","503","0","test","1","6","1","10","750","60","false","rigged_win","","","",""
"511","","pre_stim","single-stim-button","7","35630","0.0-1.6-0.6","columbia-card-task-hot","true","0","2","511","511","0","test","1","7","1","10","750","70","false","rigged_win","","","",""
"479","","pre_stim","single-stim-button","8","36110","0.0-1.7-0.7","columbia-card-task-hot","true","0","1","479","479","0","test","1","8","1","10","750","80","false","rigged_win","","","",""
"895","","pre_stim","single-stim-button","9","37006","0.0-1.8-0.8","columbia-card-task-hot","true","0","9","895","895","0","test","1","9","1","10","750","90","false","rigged_win","","","",""
"399","","pre_stim","single-stim-button","10","37406","0.0-1.9-0.9","columbia-card-task-hot","true","0","17","399","399","0","test","1","10","1","10","750","100","false","rigged_win","","","",""
"455","","pre_stim","single-stim-button","11","37861","0.0-1.10-0.10","columbia-card-task-hot","true","0","25","455","455","0","test","1","11","1","10","750","110","false","rigged_win","","","",""
"407","","pre_stim","single-stim-button","12","38270","0.0-1.11-0.11","columbia-card-task-hot","true","0","26","407","407","0","test","1","12","1","10","750","120","false","rigged_win","","","",""
"383","","pre_stim","single-stim-button","13","38654","0.0-1.12-0.12","columbia-card-task-hot","true","0","27","383","383","0","test","1","13","1","10","750","130","false","rigged_win","","","",""
"439","","pre_stim","single-stim-button","14","39094","0.0-1.13-0.13","columbia-card-task-hot","true","0","28","439","439","0","test","1","14","1","10","750","140","false","rigged_win","","","",""
"431","","pre_stim","single-stim-button","15","39526","0.0-1.14-0.14","columbia-card-task-hot","true","0","29","431","431","0","test","1","15","1","10","750","150","false","rigged_win","","","",""
"391","","pre_stim","single-stim-button","16","39918","0.0-1.15-0.15","columbia-card-task-hot","true","0","30","391","391","0","test","1","16","1","10","750","160","false","rigged_win","","","",""
