"rt","responses","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","mouse_click","stim_duration","block_duration","timing_post_trial","exp_stage","which_round","num_click_in_round","num_loss_cards","gain_amount","loss_amount","round_points","clicked_on_loss_card","round_type","credit_var","performance_var","text","key_press"
"7294","{""Q0"":""uE2Go""}","pre task questions","survey-text","0","7296","0.0-0.0","columbia-card-task-hot","true","0","","","","","","","","","","","","","","","","",""
"7668","","pre_stim","single-stim-button","1","15967","0.0-1.0-0.0","columbia-card-task-hot","true","0","28","7668","7668","0","test","1","1","3","30","250","30","false","rigged_loss","","","",""
"654","","pre_stim","single-stim-button","2","16623","0.0-1.1-0.1","columbia-card-task-hot","true","0","29","654","654","0","test","1","2","3","30","250","60","false","rigged_loss","","","",""
"487","","pre_stim","single-stim-button","3","17111","0.0-1.2-0.2","columbia-card-task-hot","true","0","30","487","487","0","test","1","3","3","30","250","90","false","rigged_loss","","","",""
"519","","pre_stim","single-stim-button","4","17631","0.0-1.3-0.3","columbia-card-task-hot","true","0","31","519","519","0","test","1","4","3","30","250","120","false","rigged_loss","","","",""
"647","","pre_stim","single-stim-button","5","18279","0.0-1.4-0.4","columbia-card-task-hot","true","0","32","647","647","0","test","1","5","3","30","250","150","false","rigged_loss","","","",""
"5143","","pre_stim","single-stim-button","6","23423","0.0-1.5-0.5","columbia-card-task-hot","true","0","26","5143","5143","0","test","1","6","3","30","250","180","false","rigged_loss","","","",""
"1519","","pre_stim","single-stim-button","7","24943","0.0-1.6-0.6","columbia-card-task-hot","true","0","16","1519","1519","0","test","1","7","3","30","250","210","false","rigged_loss","","","",""
"527","","pre_stim","single-stim-button","8","25471","0.0-1.7-0.7","columbia-card-task-hot","true","0","24","527","527","0","test","1","8","3","30","250","240","false","rigged_loss","","","",""
"1279","","pre_stim","single-stim-button","9","26751","0.0-1.8-0.8","columbia-card-task-hot","true","0","23","1279","1279","0","test","1","9","3","30","250","270","false","rigged_loss","","","",""
"1087","","pre_stim","single-stim-button","10","27839","0.0-1.9-0.9","columbia-card-task-hot","true","0","15","1087","1087","0","test","1","10","3","30","250","300","false","rigged_loss","","","",""
"1423","","pre_stim","single-stim-button","11","29263","0.0-1.10-0.10","columbia-card-task-hot","true","0","22","1423","1423","0","test","1","11","3","30","250","330","false","rigged_loss","","","",""
"5135","","pre_stim","single-stim-button","12","34399","0.0-1.11-0.11","columbia-card-task-hot","true","0","21","5135","5135","0","test","1","12","3","30","250","360","false","rigged_loss","","","",""
"959","","pre_stim","single-stim-button","13","35359","0.0-1.12-0.12","columbia-card-task-hot","true","0","14","959","959","0","test","1","13","3","30","250","390","false","rigged_loss","","","",""
"1815","","pre_stim","single-stim-button","14","37175","0.0-1.13-0.13","columbia-card-task-hot","true","0","20","1815","1815","0","test","1","14","3","30","250","420","false","rigged_loss","","","",""
"1263","","pre_stim","single-stim-button","15","38439","0.0-1.14-0.14","columbia-card-task-hot","true","0","13","1263","1263","0","test","1","15","3","30","250","450","false","rigged_loss","","","",""
"2111","","pre_stim","single-stim-button","16","40551","0.0-1.15-0.15","columbia-card-task-hot","true","0","7","2111","2111","0","test","1","16","3","30","250","480","false","rigged_loss","","","",""
"855","","pre_stim","single-stim-button","17","41407","0.0-1.16-0.16","columbia-card-task-hot","true","0","8","855","855","0","test","1","17","3","30","250","510","false","rigged_loss","","","",""
"6911","","pre_stim","single-stim-button","18","48319","0.0-1.17-0.17","columbia-card-task-hot","true","0","turnButton","6911","6911","0","test","1","17","3","30","250","510","false","rigged_loss","","","",""
"4879","","pre_stim","single-stim-button","19","53199","0.0-1.18-0.18","columbia-card-task-hot","true","0","collectButton","4879","4879","0","test","1","18","3","30","250","510","false","rigged_loss","","","",""
"6806","","pre_stim","single-stim-button","20","60007","0.0-2.0-0.0","columbia-card-task-hot","true","0","1","6806","6806","0","test","2","1","1","30","750","30","false","rigged_loss","","","",""
"495","","pre_stim","single-stim-button","21","60502","0.0-2.1-0.1","columbia-card-task-hot","true","0","2","495","495","0","test","2","2","1","30","750","60","false","rigged_loss","","","",""
"415","","pre_stim","single-stim-button","22","60918","0.0-2.2-0.2","columbia-card-task-hot","true","0","3","415","415","0","test","2","3","1","30","750","-690","true","rigged_loss","","","",""
"3759","","pre_stim","single-stim-button","23","64678","0.0-2.3-0.3","columbia-card-task-hot","true","0","collectButton","3759","3759","0","test","2","4","1","30","750","-690","true","rigged_loss","","","",""
"7271","","pre_stim","single-stim-button","24","71951","0.0-3.0-0.0","columbia-card-task-hot","true","0","25","7271","7271","0","test","3","1","1","10","750","10","false","rigged_win","","","",""
