"rt","responses","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","mouse_click","stim_duration","block_duration","timing_post_trial","exp_stage","which_round","num_click_in_round","num_loss_cards","gain_amount","loss_amount","round_points","clicked_on_loss_card","round_type","credit_var","performance_var","text","key_press"
"10354","{""Q0"":""00BC9""}","pre task questions","survey-text","0","10356","0.0-0.0","columbia-card-task-hot","true","0","","","","","","","","","","","","","","","","",""
"10026","","pre_stim","single-stim-button","1","21396","0.0-1.0-0.0","columbia-card-task-hot","true","0","32","10026","10026","0","test","1","1","3","10","750","10","false","rigged_win","","","",""
"606","","pre_stim","single-stim-button","2","22003","0.0-1.1-0.1","columbia-card-task-hot","true","0","24","606","606","0","test","1","2","3","10","750","20","false","rigged_win","","","",""
"631","","pre_stim","single-stim-button","3","22635","0.0-1.2-0.2","columbia-card-task-hot","true","0","23","631","631","0","test","1","3","3","10","750","30","false","rigged_win","","","",""
"439","","pre_stim","single-stim-button","4","23075","0.0-1.3-0.3","columbia-card-task-hot","true","0","22","439","439","0","test","1","4","3","10","750","40","false","rigged_win","","","",""
"399","","pre_stim","single-stim-button","5","23475","0.0-1.4-0.4","columbia-card-task-hot","true","0","30","399","399","0","test","1","5","3","10","750","50","false","rigged_win","","","",""
"1151","","pre_stim","single-stim-button","6","24627","0.0-1.5-0.5","columbia-card-task-hot","true","0","25","1151","1151","0","test","1","6","3","10","750","60","false","rigged_win","","","",""
"583","","pre_stim","single-stim-button","7","25211","0.0-1.6-0.6","columbia-card-task-hot","true","0","17","583","583","0","test","1","7","3","10","750","70","false","rigged_win","","","",""
"527","","pre_stim","single-stim-button","8","25739","0.0-1.7-0.7","columbia-card-task-hot","true","0","9","527","527","0","test","1","8","3","10","750","80","false","rigged_win","","","",""
"1343","","pre_stim","single-stim-button","9","27082","0.0-1.8-0.8","columbia-card-task-hot","true","0","2","1343","1343","0","test","1","9","3","10","750","90","false","rigged_win","","","",""
"2849","","pre_stim","single-stim-button","10","29931","0.0-1.9-0.9","columbia-card-task-hot","true","0","turnButton","2849","2849","0","test","1","9","3","10","750","90","false","rigged_win","","","",""
