"rt","responses","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","mouse_click","stim_duration","block_duration","timing_post_trial","exp_stage","which_round","num_click_in_round","num_loss_cards","gain_amount","loss_amount","round_points","clicked_on_loss_card","round_type","credit_var","performance_var","text","key_press"
"7986","{""Q0"":""00BC9""}","pre task questions","survey-text","0","7988","0.0-0.0","columbia-card-task-hot","true","0","","","","","","","","","","","","","","","","",""
"6745","","pre_stim","single-stim-button","1","15748","0.0-1.0-0.0","columbia-card-task-hot","true","0","1","6745","6745","0","test","1","1","3","10","750","10","false","rigged_win","","","",""
"2407","","pre_stim","single-stim-button","2","18155","0.0-1.1-0.1","columbia-card-task-hot","true","0","2","2407","2407","0","test","1","2","3","10","750","20","false","rigged_win","","","",""
"1551","","pre_stim","single-stim-button","3","19707","0.0-1.2-0.2","columbia-card-task-hot","true","0","10","1551","1551","0","test","1","3","3","10","750","30","false","rigged_win","","","",""
"975","","pre_stim","single-stim-button","4","20682","0.0-1.3-0.3","columbia-card-task-hot","true","0","11","975","975","0","test","1","4","3","10","750","40","false","rigged_win","","","",""
"855","","pre_stim","single-stim-button","5","21539","0.0-1.4-0.4","columbia-card-task-hot","true","0","19","855","855","0","test","1","5","3","10","750","50","false","rigged_win","","","",""
"1047","","pre_stim","single-stim-button","6","22587","0.0-1.5-0.5","columbia-card-task-hot","true","0","18","1047","1047","0","test","1","6","3","10","750","60","false","rigged_win","","","",""
"4103","","pre_stim","single-stim-button","7","26691","0.0-1.6-0.6","columbia-card-task-hot","true","0","14","4103","4103","0","test","1","7","3","10","750","70","false","rigged_win","","","",""
"5519","","pre_stim","single-stim-button","8","32211","0.0-1.7-0.7","columbia-card-task-hot","true","0","turnButton","5519","5519","0","test","1","7","3","10","750","70","false","rigged_win","","","",""
"7895","","pre_stim","single-stim-button","9","40107","0.0-1.8-0.8","columbia-card-task-hot","true","0","collectButton","7895","7895","0","test","1","8","3","10","750","70","false","rigged_win","","","",""
"7007","","pre_stim","single-stim-button","10","47115","0.0-2.0-0.0","columbia-card-task-hot","true","0","1","7007","7007","0","test","2","1","1","10","250","10","false","rigged_win","","","",""
"407","","pre_stim","single-stim-button","11","47522","0.0-2.1-0.1","columbia-card-task-hot","true","0","2","407","407","0","test","2","2","1","10","250","20","false","rigged_win","","","",""
"431","","pre_stim","single-stim-button","12","47955","0.0-2.2-0.2","columbia-card-task-hot","true","0","3","431","431","0","test","2","3","1","10","250","30","false","rigged_win","","","",""
"1439","","pre_stim","single-stim-button","13","49395","0.0-2.3-0.3","columbia-card-task-hot","true","0","4","1439","1439","0","test","2","4","1","10","250","40","false","rigged_win","","","",""
"399","","pre_stim","single-stim-button","14","49795","0.0-2.4-0.4","columbia-card-task-hot","true","0","5","399","399","0","test","2","5","1","10","250","50","false","rigged_win","","","",""
"383","","pre_stim","single-stim-button","15","50178","0.0-2.5-0.5","columbia-card-task-hot","true","0","6","383","383","0","test","2","6","1","10","250","60","false","rigged_win","","","",""
"383","","pre_stim","single-stim-button","16","50563","0.0-2.6-0.6","columbia-card-task-hot","true","0","7","383","383","0","test","2","7","1","10","250","70","false","rigged_win","","","",""
"375","","pre_stim","single-stim-button","17","50939","0.0-2.7-0.7","columbia-card-task-hot","true","0","8","375","375","0","test","2","8","1","10","250","80","false","rigged_win","","","",""
"480","","pre_stim","single-stim-button","18","51419","0.0-2.8-0.8","columbia-card-task-hot","true","0","16","480","480","0","test","2","9","1","10","250","90","false","rigged_win","","","",""
"1398","","pre_stim","single-stim-button","19","52819","0.0-2.9-0.9","columbia-card-task-hot","true","0","15","1398","1398","0","test","2","10","1","10","250","100","false","rigged_win","","","",""
"448","","pre_stim","single-stim-button","20","53267","0.0-2.10-0.10","columbia-card-task-hot","true","0","14","448","448","0","test","2","11","1","10","250","110","false","rigged_win","","","",""
"479","","pre_stim","single-stim-button","21","53747","0.0-2.11-0.11","columbia-card-task-hot","true","0","13","479","479","0","test","2","12","1","10","250","120","false","rigged_win","","","",""
"399","","pre_stim","single-stim-button","22","54147","0.0-2.12-0.12","columbia-card-task-hot","true","0","21","399","399","0","test","2","13","1","10","250","130","false","rigged_win","","","",""
"423","","pre_stim","single-stim-button","23","54570","0.0-2.13-0.13","columbia-card-task-hot","true","0","22","423","423","0","test","2","14","1","10","250","140","false","rigged_win","","","",""
"400","","pre_stim","single-stim-button","24","54971","0.0-2.14-0.14","columbia-card-task-hot","true","0","23","400","400","0","test","2","15","1","10","250","150","false","rigged_win","","","",""
"391","","pre_stim","single-stim-button","25","55363","0.0-2.15-0.15","columbia-card-task-hot","true","0","24","391","391","0","test","2","16","1","10","250","160","false","rigged_win","","","",""
"456","","pre_stim","single-stim-button","26","55819","0.0-2.16-0.16","columbia-card-task-hot","true","0","32","456","456","0","test","2","17","1","10","250","170","false","rigged_win","","","",""
"807","","pre_stim","single-stim-button","27","56627","0.0-2.17-0.17","columbia-card-task-hot","true","0","30","807","807","0","test","2","18","1","10","250","180","false","rigged_win","","","",""
"543","","pre_stim","single-stim-button","28","57171","0.0-2.18-0.18","columbia-card-task-hot","true","0","31","543","543","0","test","2","19","1","10","250","190","false","rigged_win","","","",""
"1527","","pre_stim","single-stim-button","29","58699","0.0-2.19-0.19","columbia-card-task-hot","true","0","29","1527","1527","0","test","2","20","1","10","250","200","false","rigged_win","","","",""
"871","","pre_stim","single-stim-button","30","59571","0.0-2.20-0.20","columbia-card-task-hot","true","0","12","871","871","0","test","2","21","1","10","250","210","false","rigged_win","","","",""
"1367","","pre_stim","single-stim-button","31","60939","0.0-2.21-0.21","columbia-card-task-hot","true","0","11","1367","1367","0","test","2","22","1","10","250","220","false","rigged_win","","","",""
"2975","","pre_stim","single-stim-button","32","63915","0.0-2.22-0.22","columbia-card-task-hot","true","0","9","2975","2975","0","test","2","23","1","10","250","230","false","rigged_win","","","",""
"6663","","pre_stim","single-stim-button","33","70579","0.0-2.23-0.23","columbia-card-task-hot","true","0","turnButton","6663","6663","0","test","2","23","1","10","250","230","false","rigged_win","","","",""
"6102","","pre_stim","single-stim-button","34","76683","0.0-2.24-0.24","columbia-card-task-hot","true","0","collectButton","6102","6102","0","test","2","24","1","10","250","230","false","rigged_win","","","",""
"6352","","pre_stim","single-stim-button","35","83036","0.0-3.0-0.0","columbia-card-task-hot","true","0","25","6352","6352","0","test","3","1","3","10","750","10","false","rigged_loss","","","",""
"1214","","pre_stim","single-stim-button","36","84251","0.0-3.1-0.1","columbia-card-task-hot","true","0","17","1214","1214","0","test","3","2","3","10","750","20","false","rigged_loss","","","",""
"1095","","pre_stim","single-stim-button","37","85347","0.0-3.2-0.2","columbia-card-task-hot","true","0","26","1095","1095","0","test","3","3","3","10","750","30","false","rigged_loss","","","",""
"1848","","pre_stim","single-stim-button","38","87195","0.0-3.3-0.3","columbia-card-task-hot","true","0","2","1848","1848","0","test","3","4","3","10","750","40","false","rigged_loss","","","",""
"1030","","pre_stim","single-stim-button","39","88227","0.0-3.4-0.4","columbia-card-task-hot","true","0","4","1030","1030","0","test","3","5","3","10","750","50","false","rigged_loss","","","",""
"927","","pre_stim","single-stim-button","40","89155","0.0-3.5-0.5","columbia-card-task-hot","true","0","11","927","927","0","test","3","6","3","10","750","60","false","rigged_loss","","","",""
"1599","","pre_stim","single-stim-button","41","90755","0.0-3.6-0.6","columbia-card-task-hot","true","0","7","1599","1599","0","test","3","7","3","10","750","70","false","rigged_loss","","","",""
"1768","","pre_stim","single-stim-button","42","92523","0.0-3.7-0.7","columbia-card-task-hot","true","0","6","1768","1768","0","test","3","8","3","10","750","80","false","rigged_loss","","","",""
"5278","","pre_stim","single-stim-button","43","97803","0.0-3.8-0.8","columbia-card-task-hot","true","0","turnButton","5278","5278","0","test","3","8","3","10","750","80","false","rigged_loss","","","",""
"6720","","pre_stim","single-stim-button","44","104523","0.0-3.9-0.9","columbia-card-task-hot","true","0","collectButton","6720","6720","0","test","3","9","3","10","750","80","false","rigged_loss","","","",""
"7167","","pre_stim","single-stim-button","45","111691","0.0-4.0-0.0","columbia-card-task-hot","true","0","1","7167","7167","0","test","4","1","1","30","250","30","false","rigged_win","","","",""
"1206","","pre_stim","single-stim-button","46","112899","0.0-4.1-0.1","columbia-card-task-hot","true","0","2","1206","1206","0","test","4","2","1","30","250","60","false","rigged_win","","","",""
"455","","pre_stim","single-stim-button","47","113355","0.0-4.2-0.2","columbia-card-task-hot","true","0","3","455","455","0","test","4","3","1","30","250","90","false","rigged_win","","","",""
"439","","pre_stim","single-stim-button","48","113795","0.0-4.3-0.3","columbia-card-task-hot","true","0","4","439","439","0","test","4","4","1","30","250","120","false","rigged_win","","","",""
"384","","pre_stim","single-stim-button","49","114179","0.0-4.4-0.4","columbia-card-task-hot","true","0","5","384","384","0","test","4","5","1","30","250","150","false","rigged_win","","","",""
"382","","pre_stim","single-stim-button","50","114563","0.0-4.5-0.5","columbia-card-task-hot","true","0","6","382","382","0","test","4","6","1","30","250","180","false","rigged_win","","","",""
"375","","pre_stim","single-stim-button","51","114939","0.0-4.6-0.6","columbia-card-task-hot","true","0","7","375","375","0","test","4","7","1","30","250","210","false","rigged_win","","","",""
"343","","pre_stim","single-stim-button","52","115283","0.0-4.7-0.7","columbia-card-task-hot","true","0","8","343","343","0","test","4","8","1","30","250","240","false","rigged_win","","","",""
"400","","pre_stim","single-stim-button","53","115683","0.0-4.8-0.8","columbia-card-task-hot","true","0","16","400","400","0","test","4","9","1","30","250","270","false","rigged_win","","","",""
"391","","pre_stim","single-stim-button","54","116075","0.0-4.9-0.9","columbia-card-task-hot","true","0","15","391","391","0","test","4","10","1","30","250","300","false","rigged_win","","","",""
"614","","pre_stim","single-stim-button","55","116691","0.0-4.10-0.10","columbia-card-task-hot","true","0","14","614","614","0","test","4","11","1","30","250","330","false","rigged_win","","","",""
"471","","pre_stim","single-stim-button","56","117163","0.0-4.11-0.11","columbia-card-task-hot","true","0","13","471","471","0","test","4","12","1","30","250","360","false","rigged_win","","","",""
"622","","pre_stim","single-stim-button","57","117787","0.0-4.12-0.12","columbia-card-task-hot","true","0","12","622","622","0","test","4","13","1","30","250","390","false","rigged_win","","","",""
"350","","pre_stim","single-stim-button","58","118139","0.0-4.13-0.13","columbia-card-task-hot","true","0","11","350","350","0","test","4","14","1","30","250","420","false","rigged_win","","","",""
"358","","pre_stim","single-stim-button","59","118499","0.0-4.14-0.14","columbia-card-task-hot","true","0","10","358","358","0","test","4","15","1","30","250","450","false","rigged_win","","","",""
"407","","pre_stim","single-stim-button","60","118907","0.0-4.15-0.15","columbia-card-task-hot","true","0","9","407","407","0","test","4","16","1","30","250","480","false","rigged_win","","","",""
"511","","pre_stim","single-stim-button","61","119419","0.0-4.16-0.16","columbia-card-task-hot","true","0","17","511","511","0","test","4","17","1","30","250","510","false","rigged_win","","","",""
"519","","pre_stim","single-stim-button","62","119939","0.0-4.17-0.17","columbia-card-task-hot","true","0","25","519","519","0","test","4","18","1","30","250","540","false","rigged_win","","","",""
"870","","pre_stim","single-stim-button","63","120811","0.0-4.18-0.18","columbia-card-task-hot","true","0","24","870","870","0","test","4","19","1","30","250","570","false","rigged_win","","","",""
"359","","pre_stim","single-stim-button","64","121171","0.0-4.19-0.19","columbia-card-task-hot","true","0","32","359","359","0","test","4","20","1","30","250","600","false","rigged_win","","","",""
"1271","","pre_stim","single-stim-button","65","122443","0.0-4.20-0.20","columbia-card-task-hot","true","0","18","1271","1271","0","test","4","21","1","30","250","630","false","rigged_win","","","",""
"830","","pre_stim","single-stim-button","66","123275","0.0-4.21-0.21","columbia-card-task-hot","true","0","23","830","830","0","test","4","22","1","30","250","660","false","rigged_win","","","",""
"5031","","pre_stim","single-stim-button","67","128307","0.0-4.22-0.22","columbia-card-task-hot","true","0","31","5031","5031","0","test","4","23","1","30","250","690","false","rigged_win","","","",""
"1214","","pre_stim","single-stim-button","68","129523","0.0-4.23-0.23","columbia-card-task-hot","true","0","26","1214","1214","0","test","4","24","1","30","250","720","false","rigged_win","","","",""
"1894","","pre_stim","single-stim-button","69","131419","0.0-4.24-0.24","columbia-card-task-hot","true","0","turnButton","1894","1894","0","test","4","24","1","30","250","720","false","rigged_win","","","",""
"7662","","pre_stim","single-stim-button","70","139083","0.0-4.25-0.25","columbia-card-task-hot","true","0","collectButton","7662","7662","0","test","4","25","1","30","250","720","false","rigged_win","","","",""
"8584","","pre_stim","single-stim-button","71","147667","0.0-5.0-0.0","columbia-card-task-hot","true","0","1","8584","8584","0","test","5","1","1","10","250","10","false","rigged_win","","","",""
"647","","pre_stim","single-stim-button","72","148315","0.0-5.1-0.1","columbia-card-task-hot","true","0","2","647","647","0","test","5","2","1","10","250","20","false","rigged_win","","","",""
"526","","pre_stim","single-stim-button","73","148843","0.0-5.2-0.2","columbia-card-task-hot","true","0","10","526","526","0","test","5","3","1","10","250","30","false","rigged_win","","","",""
"439","","pre_stim","single-stim-button","74","149283","0.0-5.3-0.3","columbia-card-task-hot","true","0","18","439","439","0","test","5","4","1","10","250","40","false","rigged_win","","","",""
"487","","pre_stim","single-stim-button","75","149771","0.0-5.4-0.4","columbia-card-task-hot","true","0","26","487","487","0","test","5","5","1","10","250","50","false","rigged_win","","","",""
"927","","pre_stim","single-stim-button","76","150699","0.0-5.5-0.5","columbia-card-task-hot","true","0","9","927","927","0","test","5","6","1","10","250","60","false","rigged_win","","","",""
"528","","pre_stim","single-stim-button","77","151227","0.0-5.6-0.6","columbia-card-task-hot","true","0","17","528","528","0","test","5","7","1","10","250","70","false","rigged_win","","","",""
"727","","pre_stim","single-stim-button","78","151955","0.0-5.7-0.7","columbia-card-task-hot","true","0","25","727","727","0","test","5","8","1","10","250","80","false","rigged_win","","","",""
"1135","","pre_stim","single-stim-button","79","153091","0.0-5.8-0.8","columbia-card-task-hot","true","0","4","1135","1135","0","test","5","9","1","10","250","90","false","rigged_win","","","",""
"607","","pre_stim","single-stim-button","80","153699","0.0-5.9-0.9","columbia-card-task-hot","true","0","5","607","607","0","test","5","10","1","10","250","100","false","rigged_win","","","",""
"551","","pre_stim","single-stim-button","81","154251","0.0-5.10-0.10","columbia-card-task-hot","true","0","6","551","551","0","test","5","11","1","10","250","110","false","rigged_win","","","",""
